"IP_CLM_BASE_DRG_CD", "Diagnosis related group"
1, "Heart transplant or implant of heart assist system"
2, "ECMO or trach w MV 96+ hrs or PDX exc face, mouth & neck w maj O.R."
3, "Trach w MV 96+ hrs or PDX exc face, mouth & neck w/o maj O.R."
4, "Liver transplant"
5, "Lung transplant"
6, "Simultaneous pancreas/kidney transplant"
7, "Bone marrow transplant"
8, "Pancreas transplant"
9, "Tracheostomy for face,mouth & neck diagnoses"
10, "Intracranial vascular procedures w PDX hemorrhage"
11, "Cranio w major dev impl/acute complex CNS PDX"
12, "Craniotomy & endovascular intracranial procedures"
13, "Spinal procedures"
14, "Ventricular shunt procedures"
15, "Carotid artery stent procedure"
16, "Extracranial procedures"
17, "Periph/cranial nerve & other nerv syst"
18, "Spinal disorders & injuries"
19, "Nervous system neoplasms"
20, "Degenerative nervous system disorders"
21, "Multiple sclerosis & cerebellar ataxia"
22, "Acute ischemic stroke w use of thrombolytic agent"
23, "Intracranial hemorrhage or cerebral infarction"
24, "Nonspecific cva & precerebral occlusion w/o infarct"
25, "Transient ischemia"
26, "Nonspecific cerebrovascular disorders"
27, "Cranial & peripheral nerve disorders"
28, "Viral meningitis"
29, "Hypertensive encephalopathy"
30, "Nontraumatic stupor & coma"
31, "Traumatic stupor & coma, coma >1 hr"
32, "Traumatic stupor & coma"
33, "Concussion"
34, "Other disorders of nervous system"
35, "Bacterial & tuberculous infections of nervous system"
36, "Non-bacterial infect of nervous sys exc viral meningitis"
37, "Seizures"
38, "Headaches"
39, "Orbital procedures"
40, "Intraocular procedures"
41, "Acute major eye infections"
42, "Neurological eye disorders"
43, "Other disorders of the eye"
44, "Major head & neck procedures"
45, "Cranial/facial procedures"
46, "Other ear, nose, mouth & throat O.R. procedures"
47, "Mouth procedures"
48, "Salivary gland procedures"
49, "Ear, nose, mouth & throat malignancy"
50, "Dysequilibrium"
51, "Epistaxis"
52, "Otitis media & URI"
53, "Nasal trauma & deformity"
54, "Dental & Oral Diseases"
55, "Major chest procedures"
56, "Other resp system O.R."
57, "Pulmonary embolism"
58, "Respiratory infections & inflammations"
59, "Respiratory neoplasms"
60, "Major chest trauma"
61, "Pleural effusion"
62, "Pulmonary edema & respiratory failure"
63, "Chronic obstructive pulmonary disease"
64, "Simple pneumonia & pleurisy"
65, "Interstitial lung disease"
66, "Pneumothorax"
67, "Bronchitis & asthma"
68, "Respiratory signs & symptoms"
69, "Other respiratory system diagnoses"
